metric,value
version,2026.08.26-graph-scheduler-v1
seeds_per_cell,30
horizon,4200
topologies[0],line
topologies[1],fan_in
topologies[2],fan_out
topologies[3],diamond
topologies[4],self_loop
topologies[5],two_cycle
loads[0],under
loads[1],capacity
loads[2],over
policies[0],reactive
policies[1],watermark
policies[2],credit
policies[3],pi
policies[4],aimd:a=0.5:m=1.35
policies[5],aimd:a=0.5:m=1.8
policies[6],aimd:a=0.5:m=2.5
policies[7],aimd:a=1.0:m=1.35
policies[8],aimd:a=1.0:m=1.8
policies[9],aimd:a=1.0:m=2.5
policies[10],aimd:a=2.0:m=1.35
policies[11],aimd:a=2.0:m=1.8
policies[12],aimd:a=2.0:m=2.5
aggregate.line.under.aimd:a=2.0:m=1.35.sink_completions,221.36666666666667
aggregate.line.under.aimd:a=2.0:m=1.35.throughput_per_1000_ticks,52.7063492063492
aggregate.line.under.aimd:a=2.0:m=1.35.p50_latency,484.25
aggregate.line.under.aimd:a=2.0:m=1.35.p95_latency,930.4150000000001
aggregate.line.under.aimd:a=2.0:m=1.35.p99_latency,980.7786666666667
aggregate.line.under.aimd:a=2.0:m=1.35.mean_latency,484.45651382266436
aggregate.line.under.aimd:a=2.0:m=1.35.max_node_queue,36.0
aggregate.line.under.aimd:a=2.0:m=1.35.max_external_backlog,5.866666666666666
aggregate.line.under.aimd:a=2.0:m=1.35.pending_after_drain,0.0
aggregate.line.under.aimd:a=2.0:m=1.35.sustained_no_progress,0.0
aggregate.line.under.aimd:a=2.0:m=1.35.activations,194.8
aggregate.line.under.aimd:a=2.0:m=1.35.blocked_ticks,129.86666666666667
aggregate.line.under.aimd:a=2.0:m=1.35.busy_ticks,2079.6666666666665
aggregate.line.under.aimd:a=2.0:m=1.35.atomic_publish_stalls,0.0
aggregate.line.under.aimd:a=2.0:m=1.35.overflow_attempts,0.0
aggregate.line.under.aimd:a=2.0:m=1.35.queue_cv,0.6181096784715469
aggregate.line.under.aimd:a=2.0:m=1.35.queue_direction_reversals,116.93333333333334
aggregate.line.under.aimd:a=2.0:m=1.35.source_fairness,1.0
aggregate.line.under.aimd:a=2.0:m=1.8.generated_traces,221.83333333333334
aggregate.line.under.aimd:a=2.0:m=1.8.sink_completions,221.83333333333334
aggregate.line.under.aimd:a=2.0:m=1.8.throughput_per_1000_ticks,52.81746031746032
aggregate.line.under.aimd:a=2.0:m=1.8.p50_latency,536.0833333333334
aggregate.line.under.aimd:a=2.0:m=1.8.p95_latency,986.3166666666667
aggregate.line.under.aimd:a=2.0:m=1.8.p99_latency,1037.8756666666666
aggregate.line.under.aimd:a=2.0:m=1.8.mean_latency,533.6703822949377
aggregate.line.under.aimd:a=2.0:m=1.8.max_node_queue,36.0
aggregate.line.under.aimd:a=2.0:m=1.8.max_external_backlog,8.166666666666666
aggregate.line.under.aimd:a=2.0:m=1.8.pending_after_drain,0.0
aggregate.line.under.aimd:a=2.0:m=1.8.sustained_no_progress,0.0
aggregate.line.under.aimd:a=2.0:m=1.8.activations,182.4
aggregate.line.under.aimd:a=2.0:m=1.8.blocked_ticks,121.6
aggregate.line.under.aimd:a=2.0:m=1.8.busy_ticks,2023.5
aggregate.line.under.aimd:a=2.0:m=1.8.atomic_publish_stalls,0.0
aggregate.line.under.aimd:a=2.0:m=1.8.overflow_attempts,0.0
aggregate.line.under.aimd:a=2.0:m=1.8.queue_cv,0.5696435358361757
aggregate.line.under.aimd:a=2.0:m=1.8.queue_direction_reversals,110.53333333333333
aggregate.line.under.aimd:a=2.0:m=1.8.source_fairness,1.0
aggregate.line.under.aimd:a=2.0:m=2.5.generated_traces,221.3
aggregate.line.under.aimd:a=2.0:m=2.5.sink_completions,221.3
aggregate.line.under.aimd:a=2.0:m=2.5.throughput_per_1000_ticks,52.69047619047619
aggregate.line.under.aimd:a=2.0:m=2.5.p50_latency,553.9833333333333
aggregate.line.under.aimd:a=2.0:m=2.5.p95_latency,1001.5816666666667
aggregate.line.under.aimd:a=2.0:m=2.5.p99_latency,1051.5639999999999
aggregate.line.under.aimd:a=2.0:m=2.5.mean_latency,552.4344289971484
aggregate.line.under.aimd:a=2.0:m=2.5.max_node_queue,36.0
aggregate.line.under.aimd:a=2.0:m=2.5.max_external_backlog,8.5
aggregate.line.under.aimd:a=2.0:m=2.5.pending_after_drain,0.0
aggregate.line.under.aimd:a=2.0:m=2.5.sustained_no_progress,0.0
aggregate.line.under.aimd:a=2.0:m=2.5.activations,177.2
aggregate.line.under.aimd:a=2.0:m=2.5.blocked_ticks,118.13333333333334
aggregate.line.under.aimd:a=2.0:m=2.5.busy_ticks,1992.8333333333333
aggregate.line.under.aimd:a=2.0:m=2.5.atomic_publish_stalls,0.0
aggregate.line.under.aimd:a=2.0:m=2.5.overflow_attempts,0.0
aggregate.line.under.aimd:a=2.0:m=2.5.queue_cv,0.5465839378729321
aggregate.line.under.aimd:a=2.0:m=2.5.queue_direction_reversals,114.73333333333333
aggregate.line.under.aimd:a=2.0:m=2.5.source_fairness,1.0
aggregate.line.capacity.reactive.generated_traces,420.1
aggregate.line.capacity.reactive.sink_completions,420.1
aggregate.line.capacity.reactive.throughput_per_1000_ticks,100.02380952380953
aggregate.line.capacity.reactive.p50_latency,20.966666666666665
aggregate.line.capacity.reactive.p95_latency,24.536666666666665
aggregate.line.capacity.reactive.p99_latency,26.55366666666667
aggregate.line.capacity.reactive.mean_latency,21.037680403601186
aggregate.line.capacity.reactive.max_node_queue,1.0
aggregate.line.capacity.reactive.max_external_backlog,0.0
aggregate.line.capacity.reactive.pending_after_drain,0.0
aggregate.line.capacity.reactive.sustained_no_progress,0.0
aggregate.line.capacity.reactive.activations,1260.1
aggregate.line.capacity.reactive.blocked_ticks,840.0666666666667
aggregate.line.capacity.reactive.busy_ticks,8394.466666666667
